leaid,leaname,BLP,BLPPer,HSP,HSPPer,MFI,grade,Region,gapblk_ela,gapseblk_ela,gaphsp_ela,gapsehsp_ela,gapblk_math,gapseblk_math,gaphsp_math,gapsehsp_math,racepercent_ela,racepercent_math,fipst
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,3,6,0.70661175,0.064748637,0.86901546,0.072530143,0.74490136,0.067365415,0.86491716,0.07556542,0.96143615,0.96145326,37
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,4,6,0.75063485,0.065036237,0.85904497,0.075712308,0.82786399,0.069610029,0.7715736,0.080109596,0.95662314,0.95664334,37
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,5,6,0.59744895,0.063013561,0.56628776,0.082210124,0.71109515,0.064050615,0.65767109,0.080923803,0.95077223,0.95074844,37
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,6,6,0.65430599,0.065810911,0.80725569,0.081136912,0.801027,0.068295173,0.74008846,0.082621038,0.95016611,0.95011878,37
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,7,6,0.54640555,0.066319436,0.67491627,0.083175719,0.73529345,0.068855628,0.60329121,0.083889104,0.9579792,0.9579196,37
3700530,CABARRUS COUNTY SCHOOLS,17710,12.7,10790,7.7,68107,8,6,0.84861851,0.070049949,0.86497182,0.083229601,0.85839456,0.068672962,0.77994663,0.080409326,0.95891041,0.95892942,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,3,7,0.93547177,0.13860451,0.63428867,0.14355652,0.85709703,0.15298596,0.48139176,0.1408361,0.9612326,0.96119404,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,4,7,0.71208179,0.12357043,0.5241394,0.14080523,0.62440151,0.12847774,0.33496791,0.14521199,0.95845699,0.958498,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,5,7,0.6674065,0.1502756,0.37335074,0.15197931,0.805107,0.14618656,0.19610703,0.15501767,0.97064394,0.97156399,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,6,7,0.88799232,0.1289642,0.42885756,0.14586252,0.81522685,0.13877062,0.25050983,0.14581797,0.96446699,0.96446699,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,7,7,0.59417808,0.13833828,0.45069253,0.12514323,0.4204185,0.15058795,0.24957052,0.13742997,0.97011954,0.9701789,37
3700580,CALDWELL COUNTY SCHOOLS,3878,4.9,3146,4,47777,8,7,0.4765287,0.16415767,0.68038195,0.17197362,0.65447706,0.15536463,0.41851732,0.16198805,0.96473026,0.96480334,37
3700600,CAMDEN COUNTY SCHOOLS,1551,16.5,90,1,70625,5,1,0.51990873,0.27396363,,,0.29489592,0.28367224,,,0.97163123,0.97163123,37
3700600,CAMDEN COUNTY SCHOOLS,1551,16.5,90,1,70625,7,1,0.83920974,0.25817811,,,0.75489384,0.2730183,,,0.96503496,0.96503496,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,3,2,0.72123271,0.15483923,0.87793672,0.21824105,0.82296133,0.16002843,0.68256325,0.19465199,0.95744681,0.95744681,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,4,2,0.70954996,0.15223984,0.42505205,0.23535892,0.84035689,0.16888942,0.42119193,0.22126691,0.95666134,0.95659167,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,5,2,0.88985801,0.17163943,0.88154244,0.23127888,1.1757158,0.18090923,0.97107208,0.22801061,0.95741326,0.95748031,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,6,2,0.68144667,0.179989,,,0.82195401,0.18726873,,,0.97314376,0.97314376,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,7,2,0.39232796,0.14644338,,,0.8190071,0.16776638,,,0.95688224,0.95688224,37
3700630,CARTERET COUNTY PUBLIC SCHOOLS,4342,6.9,1452,2.3,56897,8,2,0.82527953,0.18619949,,,0.92877042,0.17957968,,,0.9737249,0.9737249,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,3,5,0.72145182,0.15768948,0.91353029,0.23370545,0.98862547,0.16823021,0.61581266,0.25323376,0.94871795,0.94871795,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,4,5,0.57535797,0.15371457,,,0.6148029,0.15543802,,,0.97489542,0.97489542,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,5,5,0.3027415,0.15046658,,,0.25964835,0.15445358,,,0.97424895,0.97424895,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,6,5,0.3964273,0.15995933,,,0.43208313,0.16901737,,,0.98165137,0.98165137,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,7,5,0.71806312,0.15335284,,,0.4125486,0.15489635,,,0.97747749,0.97747749,37
3700660,CASWELL COUNTY SCHOOLS,7917,34.1,608,2.6,43534,8,5,0.69651663,0.15896337,,,0.65031022,0.15738575,,,0.95510203,0.95510203,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,3,7,1.0816225,0.13356899,0.89283144,0.095492005,1.1201336,0.15248704,0.52239484,0.09674935,0.94945848,0.94953138,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,4,7,0.76246166,0.13175671,0.67302746,0.10098878,0.67459452,0.13713449,0.45413303,0.10650297,0.9642058,0.96428573,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,5,7,0.68880248,0.14139444,0.8102358,0.1055896,0.62273657,0.13476428,0.4280875,0.10518128,0.95602727,0.95602727,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,6,7,0.54183859,0.13094047,0.62098861,0.1151804,0.65180433,0.13332713,0.57625395,0.12094837,0.96262395,0.96262395,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,7,7,0.62120354,0.15030777,0.57896829,0.09649387,0.83547074,0.15115508,0.29961869,0.10603348,0.95472598,0.95548487,37
3700690,CATAWBA COUNTY SCHOOLS,5723,5.4,6989,6.6,55960,8,7,0.47327065,0.14401121,0.59845263,0.11921863,0.57422233,0.13776079,0.4244805,0.11381836,0.96686304,0.96688741,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,3,3,1.5358361,0.1309692,1.5975502,0.14725925,1.3128697,0.13139494,1.5794879,0.14241315,0.92579508,0.92657346,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,4,3,1.7186354,0.14432627,1.3266758,0.15927973,1.699757,0.14536266,1.0820404,0.15767471,0.91266912,0.91404361,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,5,3,1.5016789,0.13634223,1.4006783,0.1472096,1.6573724,0.13622034,1.2895669,0.13839047,0.93425608,0.93485713,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,6,3,1.4965078,0.1280982,1.6286545,0.13885741,1.6201494,0.12546594,1.3770013,0.14000367,0.94394618,0.94450611,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,7,3,1.7382739,0.12448832,1.2966851,0.1584008,1.5336976,0.12596488,1.1366377,0.14106436,0.94799054,0.94835681,37
3700720,CHAPEL HILL-CARRBORO SCHOOLS,9003,11.6,3972,5.1,93831,8,3,1.6780391,0.14117688,1.3163102,0.16606991,1.4335079,0.12148099,1.123515,0.13984857,0.9361949,0.93656284,37
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,3,3,1.045907,0.12854134,1.0379076,0.10462423,1.0444814,0.1405412,0.73849577,0.1065068,0.95135909,0.95135909,37
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,4,3,0.80892086,0.13887516,1.0959218,0.11464688,1.0273474,0.13825433,0.79594254,0.11557799,0.95558959,0.95558959,37
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,5,3,1.151632,0.1474137,1.1315364,0.12467227,1.0007739,0.14771567,0.96013761,0.12689133,0.93643409,0.9365325,37
