leaid,leaname,BLPPer,HSPPer,MFI,grade,Region,gapblk_ela,gaphsp_ela,gapblk_math,gaphsp_math,racepercent_ela
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,6,3,0.72623414,0.79959494,0.81331831,0.54750365,0.97201765
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,7,3,0.61539459,0.33318138,0.52472579,0.13967544,0.97635138
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,8,3,0.84401286,0.85822874,0.56254858,0.43755707,0.97473997
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,3,6,0.87905014,0.84394109,0.90567982,0.62912685,0.96860641
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,4,6,0.70448732,0.34344861,0.67586291,0.27188104,0.9666149
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,5,6,0.75016052,0.53129286,0.8121224,0.51161027,0.97511846
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,6,6,0.6907379,0.54068589,0.72139478,0.34881714,0.9736734
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,7,6,0.60734069,0.50350416,0.60459369,0.39160755,0.98272401
3701620,GASTON COUNTY SCHOOLS,14,5.4,52452,8,6,0.6823265,0.27196339,0.67076498,0.062729664,0.97881013
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,3,1,0.43779075,,0.68027264,,0.95522386
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,4,1,0.94902831,,0.99312723,,0.97972971
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,5,1,0.72660655,,0.71147668,,0.97452229
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,6,1,0.56074816,,0.38728192,,0.92805755
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,7,1,0.61064678,,0.40023333,,0.9868421
3701680,GATES COUNTY SCHOOLS,35.9,1.1,56703,8,1,1.2323461,,0.35893092,,0.97794116
3701800,GRANVILLE COUNTY SCHOOLS,33.1,6.5,56493,3,3,0.61307293,0.75681567,0.70164692,0.7039476,0.95826894
3701800,GRANVILLE COUNTY SCHOOLS,33.1,6.5,56493,4,3,0.61427993,0.77852887,0.67052644,0.7618959,0.96947676
3701800,GRANVILLE COUNTY SCHOOLS,33.1,6.5,56493,5,3,0.73395199,0.3839874,0.83725035,0.40759766,0.97515529
